Assessor Parcel Number,Jurisdiction Name,Maxium_density_allowed_(units/Acres),Total Capacity,Parcel_size(Acres),total people per parcel,AIN,CENTER_LAT,CENTER_LON
6234005903,DOWNEY,100.0,0.0,0.00022631556,0.0,6234005903,33.92852261,-118.1689848
6234006008,DOWNEY,100.0,0.0,0.01132207113,0.0,6234006008,33.9260031,-118.1685968
6234004038,DOWNEY,100.0,0.0,0.00235499508,0.0,6234004038,33.92743924,-118.1667199
6234005904,DOWNEY,100.0,0.0,0.03712452829,0.0,6234005904,33.92654631,-118.1681289
6234005905,DOWNEY,100.0,0.0,0.00022631556,0.0,6234005905,33.92852261,-118.1689848
6234005906,DOWNEY,100.0,0.0,0.03712452829,0.0,6234005906,33.92654631,-118.1681289
6234008032,DOWNEY,20.0,0.0,0.0164788652,,6234008032,33.92454448,-118.1697625
6234008032,SOUTH GATE,20.0,25.0,1.25,,6234008032,33.92454448,-118.1697625
6234008901,DOWNEY,100.0,100.0,2.23694206688,190.0,6234008901,33.92379979,-118.1696154
6251038013,DOWNEY,40.0,18.0,0.59253732813,30.6,6251038013,33.94442012,-118.1360857
6251039025,DOWNEY,40.0,4.0,0.11808200634,6.8,6251039025,33.94381361,-118.1367962
6251039026,DOWNEY,40.0,14.0,0.45995162682,23.8,6251039026,33.94360531,-118.1367323
6251038025,DOWNEY,40.0,7.0,0.24640335491,11.9,6251038025,33.94500475,-118.1356593
6251038024,DOWNEY,40.0,10.0,0.33564226821,17.0,6251038024,33.94486619,-118.1357588
6254004028,DOWNEY,40.0,20.0,0.67236258638,34.0,6254004028,33.94319174,-118.1337117
6254003005,DOWNEY,40.0,5.0,0.16384174319,8.5,6254003005,33.94296061,-118.13547
6254003006,DOWNEY,40.0,5.0,0.16350641624,8.5,6254003006,33.94288967,-118.1353387
6254003020,DOWNEY,40.0,3.0,0.09191302677,5.1,6254003020,33.94295221,-118.1356676
6254003004,DOWNEY,40.0,2.0,0.08067488625,3.4,6254003004,33.94312577,-118.1355339
6254004009,DOWNEY,40.0,3.0,0.11425257389,5.1,6254004009,33.94378246,-118.1349899
6254004010,DOWNEY,40.0,3.0,0.09106888319,5.1,6254004010,33.94396308,-118.1348708
6254017011,DOWNEY,40.0,14.0,0.47075425056,23.8,6254017011,33.94161068,-118.129901
6254018019,DOWNEY,40.0,5.0,0.17243206062,8.5,6254018019,33.94161483,-118.1307773
6254018008,DOWNEY,40.0,13.0,0.41746926821,22.1,6254018008,33.94182277,-118.1302928
6254018020,DOWNEY,40.0,8.0,0.25877007282,13.6,6254018020,33.9415217,-118.1306043
6254017020,DOWNEY,40.0,7.0,0.23763883289,11.9,6254017020,33.94129583,-118.130186
6254017023,DOWNEY,40.0,5.0,0.17506131922,8.5,6254017023,33.94120592,-118.1300204
6254018021,DOWNEY,40.0,8.0,0.27290146942,13.6,6254018021,33.94140639,-118.1303912
6254018027,DOWNEY,40.0,7.0,0.23667844199,11.9,6254018027,33.9419789,-118.1305815
6254011003,DOWNEY,40.0,7.0,0.22847734639,11.9,6254011003,33.94198199,-118.1325762
6254007013,DOWNEY,40.0,13.0,0.43093309633,22.1,6254007013,33.94265252,-118.1326916
6254011008,DOWNEY,40.0,4.0,0.13313327535,6.8,6254011008,33.94152105,-118.1324592
6254015002,DOWNEY,40.0,8.0,0.27252268846,13.6,6254015002,33.94321112,-118.1303571
