location,industrial,logistics,auto,retail,grocery,office,education,health,restaurants,public sector,entertainment,hotel,others,Latitude,Longitude
"163rd Street–Amsterdam Avenue, New York, New York",816,1312,165,1621,943,4235,3850,23833,2962,1375,939,376,3145,40.8369451,-73.9401256
"167th Street, New York, New York",844,360,541,396,234,2007,1317,4611,986,9,160,71,1485,40.8357244,-73.9212797
"168th Street, New York, New York",784,408,538,495,238,1901,1227,1434,981,9,158,72,1445,40.8409712,-73.9394687
"169th Street, New York, New York",510,184,33,489,236,1773,1110,1311,796,30,141,203,723,40.71047,-73.793604
"170th Street, New York, New York",751,417,541,524,230,1926,1216,1392,922,9,145,72,1313,40.8400335,-73.917815
"174th Street, New York, New York",807,315,129,477,206,1741,1578,1041,665,177,161,71,1117,40.8459,-73.910136
"174th–175th Streets, New York, New York",2396,2330,695,1721,1322,3916,11493,14864,2112,1325,325,46,2856,40.8459,-73.910136
"175th Street, New York, New York",836,303,160,476,280,1730,1547,1115,696,33,159,71,1130,40.8475742,-73.9396291
"176th Street, New York, New York",888,339,251,601,205,2247,2806,5578,940,375,156,83,1548,40.8484815,-73.9117776
"181st Street, New York, New York",1182,752,659,1532,275,4510,1481,3869,808,1892,80,28,1159,40.849301,-73.9337563
"182nd–183rd Streets, New York, New York",2336,1293,518,2687,1359,4897,12571,12755,2631,984,259,110,3400,40.856093,-73.900741
"183rd Street, New York, New York",592,338,127,489,287,1532,1706,1064,726,0,111,71,1083,40.8584149,-73.9038667
"18th Avenue, New York, New York",1619,2225,181,1787,619,3446,2431,2763,1512,186,134,14,1490,40.7410394,-73.9978652
"18th Street, New York, New York",4670,3282,412,3238,781,5065,2151,6375,2092,565,1022,293,2877,40.7410394,-73.9978652
"190th Street, New York, New York",738,281,493,547,262,1501,1415,2143,872,4,115,63,972,40.8591154,-73.9341529
"191st Street, New York, New York",908,461,742,564,254,2767,1100,2330,1082,48,117,20,1379,40.8552578,-73.9293981
"207th Street, New York, New York",471,199,44,569,286,1902,1268,1354,887,26,177,245,728,40.8644038,-73.9189683
"20th Avenue, New York, New York",1717,2518,283,1913,631,3588,2490,2922,1566,396,146,44,1564,40.61741,-73.985026
"215th Street, New York, New York",144,88,2,373,181,611,503,851,512,3,149,230,326,40.8695689,-73.9151877
"219th Street, New York, New York",562,315,712,361,244,1943,3027,750,759,272,98,52,923,40.8838215,-73.8626982
"21st Street, New York, New York",4532,2994,401,2996,742,4441,1841,4099,1956,543,966,257,2918,40.7542029,-73.942836
"21st Street–Queensbridge, New York, New York",11053,6441,993,3486,730,11954,3651,15885,2500,1487,1040,800,4477,40.7542029,-73.942836
